epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,20598.2,2.57934,2.48712,1.59857,1.0018,0.45945,0.40086,0.38856,0.18918,0.43521,0.38273,0.36612,0.17474,2.4393,2.54756,1.60148,1.00135,0.000998616,0.000998616,0.000998616
83,20881,2.57189,2.46448,1.57843,1.00204,0.44356,0.38286,0.37557,0.18926,0.43394,0.36405,0.35501,0.17258,2.42873,2.54701,1.57807,0.99542,0.000990365,0.000990365,0.000990365
84,21151.3,2.55583,2.46043,1.56072,0.9966,0.43794,0.41415,0.39288,0.19416,0.40695,0.40138,0.37608,0.18132,2.44387,2.55155,1.58393,1.00251,0.000982113,0.000982113,0.000982113
85,21426.3,2.55261,2.44278,1.56361,1.00058,0.42652,0.40849,0.38903,0.19385,0.399,0.39111,0.37231,0.17192,2.42748,2.54305,1.57441,0.9974,0.000973861,0.000973861,0.000973861
86,21696.1,2.56402,2.44079,1.56121,1.00357,0.42405,0.41822,0.39283,0.1889,0.38722,0.39648,0.37178,0.1725,2.45871,2.57239,1.58954,1.01443,0.00096561,0.00096561,0.00096561
87,21964.4,2.56146,2.43245,1.57176,0.99877,0.45001,0.41626,0.39788,0.1956,0.40341,0.38668,0.37008,0.1753,2.44005,2.53259,1.58327,0.99642,0.000957358,0.000957358,0.000957358
88,22225.9,2.56259,2.45921,1.56817,0.99976,0.45334,0.39165,0.38824,0.19075,0.43112,0.37765,0.37609,0.17601,2.43409,2.53417,1.59876,1.0074,0.000949106,0.000949106,0.000949106
89,22480.2,2.53839,2.40979,1.5417,0.9937,0.44546,0.41411,0.39449,0.19266,0.40721,0.39724,0.38101,0.17811,2.45888,2.57699,1.59937,1.01896,0.000940855,0.000940855,0.000940855
90,22738.8,2.57872,2.46533,1.57751,0.99945,0.41372,0.42178,0.38526,0.18735,0.37073,0.40252,0.35713,0.1673,2.42706,2.52489,1.59254,1.00603,0.000932603,0.000932603,0.000932603
91,22996.6,2.55614,2.45999,1.55999,0.99529,0.452,0.40612,0.40242,0.20311,0.43069,0.37069,0.37854,0.18293,2.42506,2.50745,1.58199,0.98997,0.000924352,0.000924352,0.000924352
